"capability_id","workspace","canonical_route","object_type","action","backend_authority","permission","interaction_surface","current_frontend_exposure","required_final_exposure","source_review_status","implementation_status","verification_status","evidence"
"CAP-B03-009","Clients","/angelcare-marketplace/admin/customers/[customerId]/activity","crm_task","CREATE|EDIT|ASSIGN|REASSIGN|COMPLETE|REOPEN|CANCEL","crm-activity createCustomerCrmTask/updateCustomerCrmTask; angelcare_marketplace_crm_tasks","marketplace.crm.tasks.manage","Task registry and Customer 360 governed task modal","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","Existing persistence and lifecycle followed; targeted ESLint passed; authenticated canary pending."
"CAP-B03-009","Clients","/angelcare-marketplace/admin/customers/[customerId]/activity","crm_communication_log","CREATE_EVIDENCE_LOG","crm-activity logCustomerCrmCommunication; angelcare_marketplace_crm_communication_logs","marketplace.crm.communications.log","Customer 360 communication evidence modal and timeline","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","Append-only factual logging; no provider send claim."
"CAP-B05-006","Boutique","/angelcare-marketplace/admin/media/library","media_asset","UPLOAD|REPLACE|PREVIEW|TRANSFORM|DELETE","Marketplace Windows media gateway; media-storage-api; angelcare_marketplace_media_assets","marketplace.media.manage","Direct upload progress; asset inspector; usages; governed permanent deletion","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","GATEWAY_CANARY_PASSED_APP_UAT_PENDING","Gateway canary passed binary upload/read/range/delete; authenticated application canary awaits runtime gateway variables."
"CAP-B06-003","Marketing & promotions","/angelcare-marketplace/admin/live-experience-command/proof-sources","truth_source","TEST|REFRESH|PAUSE|REACTIVATE|PREVIEW","live-experience-command refreshCanonicalSource/transitionCanonicalSource/public resolver","marketplace.live_experience.manage","Truth-source registry, safe preview and source inspector","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","Only five source adapters supported by the repository are exposed."
"CAP-B10-002","Finance","/angelcare-marketplace/admin/configuration/integrations/payments/paypal","payment_provider","SAFE_CONNECTIVITY_TEST|VIEW_HEALTH|VIEW_WEBHOOK_EVIDENCE","paypal adapter OAuth probe and paypalAdminHealth","marketplace.configuration.view|marketplace.configuration.manage","PayPal operations and health surface","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","CONFIGURATION_REQUIRED","SAFE_CONNECTIVITY_VERIFIED_MARKETPLACE_INJECTION_PENDING","Adapter and all required monorepo credential values exist; credential-only live OAuth probe returned HTTP 200. Values are not injected into the Marketplace app runtime; no payment or refund executed and no secret printed."
"CAP-B05-010","Boutique","/angelcare-marketplace/admin/localization","localization_unit","SCAN|EDIT|SUBMIT|REVIEW|APPROVE|PUBLISH|GLOSSARY|MEMORY|SEO|READINESS","localization-intelligence final repository and mode-specific APIs","marketplace.localization.scans.run|marketplace.localization.translations.edit|marketplace.localization.translations.submit|marketplace.localization.translations.review|marketplace.localization.translations.approve|marketplace.localization.translations.publish","FR/EN/AR command, side-by-side editor, registries and publication runway","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","PARTIALLY_RESOLVED_WITH_EXACT_GAP","STATIC_VERIFIED_PUBLIC_LINK_GAP","Admin authority is real; generic translation table is not consumed by public repositories."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/assessment-results","POST handleAssessmentResult","/api/angelcare-marketplace/academy/assessment-results","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","Academy contextual command links","AcademyCommand","Academy contextual command links","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","app/api/angelcare-marketplace/academy/assessment-results/route.ts; mutation method, imported handler and canonical exposure reconciled."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/attendance","POST handleAttendance","/api/angelcare-marketplace/academy/attendance","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","Academy contextual command links","AcademyCommand","Academy contextual command links","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","app/api/angelcare-marketplace/academy/attendance/route.ts; mutation method, imported handler and canonical exposure reconciled."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/certificates/:certificateId/decision","POST handleCertificateDecision","/api/angelcare-marketplace/academy/certificates/:certificateId/decision","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","Academy contextual command links","AcademyCommand","Academy contextual command links","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","app/api/angelcare-marketplace/academy/certificates/[certificateId]/decision/route.ts; mutation method, imported handler and canonical exposure reconciled."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/cohorts","POST handleCohorts","/api/angelcare-marketplace/academy/cohorts","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","Academy contextual command links","AcademyCommand","Academy contextual command links","SOURCE_REVIEWED","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","app/api/angelcare-marketplace/academy/cohorts/route.ts; mutation method, imported handler and canonical exposure reconciled."
